정류장ID,정류장명,정류장번호,위도,경도
JUB311100277,봉산마을삼성생명연수원,30277,35.77943628,127.0165408
JUB312101566,봉서로 상운리,31565,35.88938144,127.1611276
JUB312101568,봉서로 상운리,31567,35.88955118,127.1611624
JUB311100125,봉은마을,30125,35.73798985,127.0006581
JUB311100126,봉은마을,30126,35.73807185,127.0005037
JUB311100705,부교마을,30705,35.821445,126.9791679
JUB311100708,부교마을,30708,35.82157934,126.9792875
JUB305100320,부남마을,30320,35.78864799,127.193633
JUB305100321,부남마을,30321,35.78923161,127.1937055
JUB306101343,부동마을,31342,35.86626607,127.0462187
JUB306101345,부동마을,31344,35.866307,127.0460874
JUB311101475,부용,31474,35.87763574,126.9506806
JUB311101477,부용,31476,35.8777075,126.9504653
JUB305100262,부평,30262,35.77807388,127.1186598
JUB305100264,부평,30264,35.77815592,127.1186861
JUB312032373,부현마을,32373,36.0627112,127.1877978
JUB312032374,부현마을,32374,36.06279952,127.1875305
JUB312032375,부현삼거리,32375,36.0697563,127.1859575
JUB312032376,부현삼거리,32376,36.069809,127.1854242
JUB312100432,부흥마을,30432,35.79946269,127.2425518
JUB312100437,부흥마을,30437,35.79973063,127.2426376
JUB305100694,북문,30694,35.82067316,127.1459659
JUB306101019,북일초교,31018,35.84067342,127.1548971
JUB306101021,북일초교,31020,35.84087789,127.1552127
JUB312032260,분내,32260,35.8702093,127.1362082
JUB306101384,분내마을,31383,35.8696382,127.1351696
JUB312101398,분토종점,31397,35.87069209,127.2256574
JUB312101399,분토종점,31398,35.87077134,127.2255152
JUB311100606,불노리,30606,35.8149437,126.9809199
JUB311100610,불노리,30610,35.8151788,126.9808533
JUB311100612,불노리,30612,35.81528677,126.9824665
JUB311100614,불노리,30614,35.8153952,126.9827115
JUB312032774,불재,36108,35.7219382,127.1456436
JUB312032775,불재,36109,35.7220288,127.145787
JUB312101998,뷰텍,31998,35.95863393,127.129707
JUB312101999,뷰텍,31999,35.95878836,127.1297936
JUB311101065,비룡마을,31064,35.84463282,126.9907045
JUB311101067,비룡마을,31066,35.84470558,126.9908449
JUB312101968,비봉종점,31967,35.99472473,127.1401972
JUB312101969,비봉종점,31968,35.99486847,127.1403236
JUB312032202,비봉파출소,32202,35.99652724,127.1377811
JUB312032203,비봉파출소,32203,35.99660045,127.1379356
JUB312101631,비비정,31630,35.90065887,127.0768028
JUB312101632,비비정,31631,35.90066282,127.0765267
JUB305100170,비송골,30170,35.75293795,127.1153714
JUB305100172,비송골,30172,35.75349669,127.1145937
JUB305100272,비아마을입구,30272,35.77890013,127.0996142
JUB305101996,비아마을입구,31996,35.77897196,127.099568
JUB305100526,비전대학교,30526,35.80764061,127.0937171
JUB305100527,비전대학교,30527,35.80780062,127.0938381
JUB305032463,비전대학교입구,36397,35.806547,127.0957418
JUB305100516,비전대학교입구.휴먼시아4단지,30516,35.80661703,127.0953127
JUB306101437,비행장,31436,35.87487833,127.1132786
JUB306101439,비행장,31438,35.87492509,127.113504
JUB312032776,사기마을,36110,35.6898536,127.1596893
JUB312032777,사기마을,36111,35.6899262,127.1598768
JUB305032611,사대마을,36545,35.8036179,127.1682826
JUB305032612,사대마을,36546,35.8035009,127.1683495
JUB306101046,사대부고사거리,31045,35.84259848,127.1399216
JUB306101057,사대부고사거리,31056,35.84346261,127.1410842
JUB305032581,사대부고사거리,36515,35.842591,127.140333
JUB305032582,사대부고사거리,36516,35.8425914,127.1404603
JUB311100607,사동마을,30607,35.81506032,126.9752791
JUB311100613,사동마을,30613,35.81530821,126.976165
JUB312032225,사랑숲노인요양병원,32225,35.94241193,127.2049863
JUB312032226,사랑숲노인요양병원,32226,35.94235676,127.2048206
JUB312100128,사옥마을,30128,35.74003115,127.2232939
JUB312100129,사옥마을,30129,35.74012969,127.2235952
JUB312032413,사치마을,32413,35.9877091,127.1491416
JUB312032414,사치마을,32414,35.98737328,127.1490079
JUB311100522,산동교회,30522,35.80716248,127.0091528
JUB311100524,산동교회,30524,35.80723286,127.0093827
JUB312101876,산림항공관리소익산지점,31875,35.9542331,127.1050827
JUB312101877,산림항공관리소익산지점,31876,35.9540793,127.1049282
JUB312100218,산바위입구,30218,35.76905363,127.214326
JUB312100219,산바위입구,30219,35.76907973,127.2141497
JUB312032748,산시,36082,36.0383795,127.145549
JUB312032749,산시,36083,36.0383782,127.1451161
JUB312101883,산업단지 한전,31882,35.95526671,127.1228018
JUB312101885,산업단지 한전,31884,35.95548711,127.1227556
JUB312101908,산장마을,31907,35.96151374,127.116517
JUB312101910,산장마을,31909,35.96180929,127.1164757
JUB312100958,산정리종점,30958,35.83619416,127.0050073
JUB312100959,산정리종점,30959,35.8362964,127.0048869
JUB312100058,산정마을,30058,35.69546834,127.2500865
JUB312100059,산정마을,30059,35.69596732,127.2488609
JUB306101117,산정마을,31116,35.84945892,127.1733511
JUB306101120,산정마을,31119,35.8495391,127.1731236
JUB306101041,산정우정신세계아파트,31040,35.84195743,127.1667592
